crime_id,crime_date,country,longitude,crime_type_id,resolved,people_involved_crime,crime_datetime,people_involved_other,crime_role_id,person_id,year,month,total_people
1,2021-09-01,United Kingdom,,1,0,2,2021-09-01 02:00:00,2,1,782,2021,9,2
1,2021-09-01,United Kingdom,,1,0,2,2021-09-01 02:00:00,2,5,3930,2021,9,2
2,2023-08-02,France,,9,0,2,2023-08-02 17:30:00,2,1,25,2023,8,2
2,2023-08-02,France,,9,0,2,2023-08-02 17:30:00,2,5,1036,2023,8,2
3,2022-04-10,Germany,,12,0,2,2022-04-10 22:35:00,2,1,2751,2022,4,2
3,2022-04-10,Germany,,12,0,2,2022-04-10 22:35:00,2,5,979,2022,4,2
4,2023-09-21,Italy,,11,1,5,2023-09-21 01:45:00,5,1,5699,2023,9,5
4,2023-09-21,Italy,,11,1,5,2023-09-21 01:45:00,5,5,6470,2023,9,5
4,2023-09-21,Italy,,11,1,5,2023-09-21 01:45:00,5,5,1780,2023,9,5
4,2023-09-21,Italy,,11,1,5,2023-09-21 01:45:00,5,2,3292,2023,9,5
4,2023-09-21,Italy,,11,1,5,2023-09-21 01:45:00,5,1,312,2023,9,5
5,2022-04-02,Spain,,12,1,2,2022-04-02 20:40:00,2,1,6738,2022,4,2
5,2022-04-02,Spain,,12,1,2,2022-04-02 20:40:00,2,5,6246,2022,4,2
6,2022-09-19,Netherlands,,11,0,2,2022-09-19 00:35:00,2,1,883,2022,9,2
6,2022-09-19,Netherlands,,11,0,2,2022-09-19 00:35:00,2,5,4216,2022,9,2
7,2023-09-15,Belgium,,4,1,2,2023-09-15 21:30:00,2,1,947,2023,9,2
7,2023-09-15,Belgium,,4,1,2,2023-09-15 21:30:00,2,5,1131,2023,9,2
8,2023-07-21,Switzerland,,12,1,2,2023-07-21 03:10:00,2,1,2848,2023,7,2
8,2023-07-21,Switzerland,,12,1,2,2023-07-21 03:10:00,2,5,3298,2023,7,2
9,2022-09-11,Sweden,,2,0,4,2022-09-11 15:20:00,4,1,6977,2022,9,4
9,2022-09-11,Sweden,,2,0,4,2022-09-11 15:20:00,4,5,2530,2022,9,4
9,2022-09-11,Sweden,,2,0,4,2022-09-11 15:20:00,4,5,5013,2022,9,4
9,2022-09-11,Sweden,,2,0,4,2022-09-11 15:20:00,4,4,523,2022,9,4
10,2023-10-19,Norway,,1,0,2,2023-10-19 00:40:00,2,1,3889,2023,10,2
10,2023-10-19,Norway,,1,0,2,2023-10-19 00:40:00,2,5,2222,2023,10,2
11,2022-07-12,Denmark,,12,1,4,2022-07-12 17:35:00,4,1,4550,2022,7,4
11,2022-07-12,Denmark,,12,1,4,2022-07-12 17:35:00,4,5,5497,2022,7,4
11,2022-07-12,Denmark,,12,1,4,2022-07-12 17:35:00,4,1,4745,2022,7,4
11,2022-07-12,Denmark,,12,1,4,2022-07-12 17:35:00,4,1,4970,2022,7,4
12,2023-07-15,Finland,,8,1,6,2023-07-15 09:00:00,6,1,332,2023,7,6
12,2023-07-15,Finland,,8,1,6,2023-07-15 09:00:00,6,5,5436,2023,7,6
12,2023-07-15,Finland,,8,1,6,2023-07-15 09:00:00,6,2,4313,2023,7,6
12,2023-07-15,Finland,,8,1,6,2023-07-15 09:00:00,6,2,1666,2023,7,6
12,2023-07-15,Finland,,8,1,6,2023-07-15 09:00:00,6,1,5815,2023,7,6
