Geography Type Description,Geography Name,Sits in State,GeoID,Formatted GeoID,Robberies,Data Time Period,Geographic Vintage,Data Source,Selected Location
State,Alabama,AL,1,01,1832,2023,,FBI UCR & DOJ,United States
State,Alaska,AK,2,02,568,2023,,FBI UCR & DOJ,United States
State,Arizona,AZ,4,04,4504,2023,,FBI UCR & DOJ,United States
State,Arkansas,AR,5,05,1154,2023,,FBI UCR & DOJ,United States
State,California,CA,6,06,49977,2023,,FBI UCR & DOJ,United States
State,Colorado,CO,8,08,3793,2023,,FBI UCR & DOJ,United States
State,Connecticut,CT,9,09,1569,2023,,FBI UCR & DOJ,United States
State,Delaware,DE,10,10,535,2023,,FBI UCR & DOJ,United States
State,District of Columbia,DC,11,11,4170,2023,,FBI UCR & DOJ,United States
State,Florida,FL,12,12,9564,2023,,FBI UCR & DOJ,United States
State,Georgia,GA,13,13,4657,2023,,FBI UCR & DOJ,United States
State,Hawaii,HI,15,15,638,2023,,FBI UCR & DOJ,United States
State,Idaho,ID,16,16,186,2023,,FBI UCR & DOJ,United States
State,Illinois,IL,17,17,13835,2023,,FBI UCR & DOJ,United States
State,Indiana,IN,18,18,2773,2023,,FBI UCR & DOJ,United States
State,Iowa,IA,19,19,715,2023,,FBI UCR & DOJ,United States
State,Kansas,KS,20,20,920,2023,,FBI UCR & DOJ,United States
State,Kentucky,KY,21,21,1774,2023,,FBI UCR & DOJ,United States
State,Louisiana,LA,22,22,2436,2023,,FBI UCR & DOJ,United States
State,Maine,ME,23,23,163,2023,,FBI UCR & DOJ,United States
State,Maryland,MD,24,24,8079,2023,,FBI UCR & DOJ,United States
State,Massachusetts,MA,25,25,2560,2023,,FBI UCR & DOJ,United States
State,Michigan,MI,26,26,3701,2023,,FBI UCR & DOJ,United States
State,Minnesota,MN,27,27,2782,2023,,FBI UCR & DOJ,United States
State,Mississippi,MS,28,28,630,2023,,FBI UCR & DOJ,United States
State,Missouri,MO,29,29,3280,2023,,FBI UCR & DOJ,United States
State,Montana,MT,30,30,273,2023,,FBI UCR & DOJ,United States
State,Nebraska,NE,31,31,520,2023,,FBI UCR & DOJ,United States
State,Nevada,NV,32,32,2291,2023,,FBI UCR & DOJ,United States
State,New Hampshire,NH,33,33,225,2023,,FBI UCR & DOJ,United States
State,New Jersey,NJ,34,34,4635,2023,,FBI UCR & DOJ,United States
State,New Mexico,NM,35,35,1542,2023,,FBI UCR & DOJ,United States
State,New York,NY,36,36,20578,2023,,FBI UCR & DOJ,United States
State,North Carolina,NC,37,37,5617,2023,,FBI UCR & DOJ,United States
State,North Dakota,ND,38,38,203,2023,,FBI UCR & DOJ,United States
State,Ohio,OH,39,39,5857,2023,,FBI UCR & DOJ,United States
State,Oklahoma,OK,40,40,1510,2023,,FBI UCR & DOJ,United States
State,Oregon,OR,41,41,2642,2023,,FBI UCR & DOJ,United States
State,Pennsylvania,PA,42,42,8230,2023,,FBI UCR & DOJ,United States
State,Rhode Island,RI,44,44,241,2023,,FBI UCR & DOJ,United States
State,South Carolina,SC,45,45,2108,2023,,FBI UCR & DOJ,United States
State,South Dakota,SD,46,46,188,2023,,FBI UCR & DOJ,United States
State,Tennessee,TN,47,47,5095,2023,,FBI UCR & DOJ,United States
State,Texas,TX,48,48,21000,2023,,FBI UCR & DOJ,United States
State,Utah,UT,49,49,901,2023,,FBI UCR & DOJ,United States
State,Vermont,VT,50,50,94,2023,,FBI UCR & DOJ,United States
State,Virginia,VA,51,51,3283,2023,,FBI UCR & DOJ,United States
State,Washington,WA,53,53,6416,2023,,FBI UCR & DOJ,United States
State,West Virginia,WV,54,54,199,2023,,FBI UCR & DOJ,United States
State,Wisconsin,WI,55,55,2285,2023,,FBI UCR & DOJ,United States
State,Wyoming,WY,56,56,67,2023,,FBI UCR & DOJ,United States
State,American Samoa,AS,60,60,N/A,2023,,FBI UCR & DOJ,United States
State,Guam,GU,66,66,N/A,2023,,FBI UCR & DOJ,United States
State,Commonwealth of the Northern Mariana Islands,MP,69,69,N/A,2023,,FBI UCR & DOJ,United States
State,Puerto Rico,PR,72,72,1258,2023,,FBI UCR & DOJ,United States
State,Virgin Islands of the United States,VI,78,78,N/A,2023,,FBI UCR & DOJ,United States
